gs_row,outcome,study_id,title,main_aim_of_study,intervention,intervention_type,intervention_grouping,arm,ad_class,ad_dose_numerical_fixed_amount_range_or_mean_dose,ad_dose_categorised,dose_schedule,length_of_study_start_to_post_intervention,pain_condition,general_pain_grouping,iasp_pain_grouping,minimum_pain_inclusion,design,imputation_method,scale,timepoint,follow_up_timepoint,mean,sd,se,median,ci_lower,ci_upper,iqr_lower,iqr_higher,n,r,r_percent,change_score,adverse_events_definition,stats_notes,study_notes,date_checked,remove_row_for_mood_analysis,intervention_category,direction_of_improvement,outcome_nma,outcome_label,model_type,model_text,outcome_all,time_no_change
12,mood,abou-raya 2012,title: duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,16 weeks,osteoarthritis,musculoskeletal,musculoskeletal,≥40 on 100vas,parallel,itt unspecified method,geriatric depression scale,post_int,NA,9.7,2.2,0.18333333333333335,NA,NA,NA,NA,NA,144,NA,NA,FALSE,NA,NA,NA,NA,NA,placebo,lower,mood,mood,smd,standardised mean diference,mood_depression,post_int
13,mood,abou-raya 2012,title: duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,pain,duloxetine,antidepressant,antidepressant,duloxetine 60mg,snri,60mg,standard,fixed,16 weeks,osteoarthritis,musculoskeletal,musculoskeletal,≥40 on 100vas,parallel,itt unspecified method,geriatric depression scale,post_int,NA,5.2,1.7,0.14166666666666666,NA,NA,NA,NA,NA,144,NA,NA,FALSE,NA,NA,NA,NA,NA,ad,lower,mood,mood,smd,standardised mean diference,mood_depression,post_int
14,withdrawal,abou-raya 2012,title: duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,16 weeks,osteoarthritis,musculoskeletal,musculoskeletal,≥40 on 100vas,parallel,itt unspecified method,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,13,0.09029999999999999,FALSE,NA,NA,NA,NA,NA,placebo,lower,withdrawal,withdrawal,lor,log odds ratio,withdrawal,post_int
15,withdrawal,abou-raya 2012,title: duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,pain,duloxetine,antidepressant,antidepressant,duloxetine 60mg,snri,60mg,standard,fixed,16 weeks,osteoarthritis,musculoskeletal,musculoskeletal,≥40 on 100vas,parallel,itt unspecified method,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,21,0.1458,FALSE,NA,NA,NA,NA,NA,ad,lower,withdrawal,withdrawal,lor,log odds ratio,withdrawal,post_int
16,adverse_dropout,abou-raya 2012,title: duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,16 weeks,osteoarthritis,musculoskeletal,musculoskeletal,≥40 on 100vas,parallel,itt unspecified method,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,6,NA,FALSE,NA,NA,NA,NA,NA,placebo,NA,adverse_dropout,adverse outcomes excluded from nma,NA,NA,adverse_dropout,post_int
17,adverse_dropout,abou-raya 2012,title: duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,pain,duloxetine,antidepressant,antidepressant,duloxetine 60mg,snri,60mg,standard,fixed,16 weeks,osteoarthritis,musculoskeletal,musculoskeletal,≥40 on 100vas,parallel,itt unspecified method,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,9,NA,FALSE,NA,NA,NA,NA,NA,ad,NA,adverse_dropout,adverse outcomes excluded from nma,NA,NA,adverse_dropout,post_int
18,adverse,agger 2017,"title: imipramine versus placebo for multiple functional somatic syndromes (stress-3): a double-blind, randomised study",global improvement,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,13 weeks,multiple functional somatic syndromes,primary,primary,no,parallel,itt unspecified method,count,baseline,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,10,0.17,FALSE,NA,NA,at least one ae of moderate intensity,NA,NA,placebo,lower,adverse,adverse events,lor,log odds ratio,adverse,baseline
19,adverse,agger 2017,"title: imipramine versus placebo for multiple functional somatic syndromes (stress-3): a double-blind, randomised study",global improvement,imipramine,antidepressant,antidepressant,imipramine 25-75mg,tca,25-75mg,low,flexible,13 weeks,multiple functional somatic syndromes,primary,primary,no,parallel,itt unspecified method,count,baseline,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,32,0.49,FALSE,NA,NA,at least one ae of moderate intensity,NA,NA,ad,lower,adverse,adverse events,lor,log odds ratio,adverse,baseline
20,adverse_dropout,agger 2017,"title: imipramine versus placebo for multiple functional somatic syndromes (stress-3): a double-blind, randomised study",global improvement,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,13 weeks,multiple functional somatic syndromes,primary,primary,no,parallel,itt unspecified method,count,baseline,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,3,NA,FALSE,NA,NA,NA,NA,NA,placebo,NA,adverse_dropout,adverse outcomes excluded from nma,NA,NA,adverse_dropout,baseline
21,adverse_dropout,agger 2017,"title: imipramine versus placebo for multiple functional somatic syndromes (stress-3): a double-blind, randomised study",global improvement,imipramine,antidepressant,antidepressant,imipramine 25-75mg,tca,25-75mg,low,flexible,13 weeks,multiple functional somatic syndromes,primary,primary,no,parallel,itt unspecified method,count,baseline,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,4,NA,FALSE,NA,NA,NA,NA,NA,ad,NA,adverse_dropout,adverse outcomes excluded from nma,NA,NA,adverse_dropout,baseline
22,withdrawal,agger 2017,"title: imipramine versus placebo for multiple functional somatic syndromes (stress-3): a double-blind, randomised study",global improvement,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,13 weeks,multiple functional somatic syndromes,primary,primary,no,parallel,itt unspecified method,count,baseline,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,15,0.221,FALSE,NA,NA,NA,NA,NA,placebo,lower,withdrawal,withdrawal,lor,log odds ratio,withdrawal,baseline
23,withdrawal,agger 2017,"title: imipramine versus placebo for multiple functional somatic syndromes (stress-3): a double-blind, randomised study",global improvement,imipramine,antidepressant,antidepressant,imipramine 25-75mg,tca,25-75mg,low,flexible,13 weeks,multiple functional somatic syndromes,primary,primary,no,parallel,itt unspecified method,count,baseline,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,13,0.18600000000000003,FALSE,NA,NA,NA,NA,NA,ad,lower,withdrawal,withdrawal,lor,log odds ratio,withdrawal,baseline
24,sleep,ahmed 2016,"the effects of milnacipran on sleep disturbance in fibromyalgia: a randomized, double-blind, placebo-controlled, two-way crossover study",sleep,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,6 weeks,fibromyalgia,fibromyalgia,primary,no,crossover,per-protocol,mos sleep problems index ii,baseline,NA,55.6,55.770960185386805,14.4,NA,NA,NA,NA,NA,15,NA,NA,FALSE,NA,NA,NA,NA,NA,placebo,lower,sleep,sleep,smd,standardised mean diference,sleep,baseline
25,sleep,ahmed 2016,"the effects of milnacipran on sleep disturbance in fibromyalgia: a randomized, double-blind, placebo-controlled, two-way crossover study",sleep,milnacipran,antidepressant,antidepressant,milnacipran 100mg,snri,100mg,standard,fixed,6 weeks,fibromyalgia,fibromyalgia,primary,no,crossover,per-protocol,mos sleep problems index ii,baseline,NA,55.6,55.770960185386805,14.4,NA,NA,NA,NA,NA,15,NA,NA,FALSE,NA,NA,NA,NA,NA,ad,lower,sleep,sleep,smd,standardised mean diference,sleep,baseline
26,sleep,ahmed 2016,"the effects of milnacipran on sleep disturbance in fibromyalgia: a randomized, double-blind, placebo-controlled, two-way crossover study",sleep,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,6 weeks,fibromyalgia,fibromyalgia,primary,no,crossover,per-protocol,mos sleep problems index ii,post_int,NA,34.9,14.717336715588184,3.8,NA,NA,NA,NA,NA,15,NA,NA,FALSE,NA,NA,NA,NA,NA,placebo,lower,sleep,sleep,smd,standardised mean diference,sleep,post_int
27,sleep,ahmed 2016,"the effects of milnacipran on sleep disturbance in fibromyalgia: a randomized, double-blind, placebo-controlled, two-way crossover study",sleep,milnacipran,antidepressant,antidepressant,milnacipran 100mg,snri,100mg,standard,fixed,6 weeks,fibromyalgia,fibromyalgia,primary,no,crossover,per-protocol,mos sleep problems index ii,post_int,NA,37.8,17.041126723312637,4.4,NA,NA,NA,NA,NA,15,NA,NA,FALSE,NA,NA,NA,NA,NA,ad,lower,sleep,sleep,smd,standardised mean diference,sleep,post_int
28,qol,ahmed 2016,"the effects of milnacipran on sleep disturbance in fibromyalgia: a randomized, double-blind, placebo-controlled, two-way crossover study",sleep,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,6 weeks,fibromyalgia,fibromyalgia,primary,no,crossover,per-protocol,fibromyalgia impact questionnaire total score,baseline,NA,56.7,48.799590162213455,12.6,NA,NA,NA,NA,NA,15,NA,NA,FALSE,NA,NA,NA,NA,NA,placebo,higher,qol,quality of life,smd,standardised mean diference,qol,baseline
29,qol,ahmed 2016,"the effects of milnacipran on sleep disturbance in fibromyalgia: a randomized, double-blind, placebo-controlled, two-way crossover study",sleep,milnacipran,antidepressant,antidepressant,milnacipran 100mg,snri,100mg,standard,fixed,6 weeks,fibromyalgia,fibromyalgia,primary,no,crossover,per-protocol,fibromyalgia impact questionnaire total score,baseline,NA,56.7,48.799590162213455,12.6,NA,NA,NA,NA,NA,15,NA,NA,FALSE,NA,NA,NA,NA,NA,ad,higher,qol,quality of life,smd,standardised mean diference,qol,baseline
30,qol,ahmed 2016,"the effects of milnacipran on sleep disturbance in fibromyalgia: a randomized, double-blind, placebo-controlled, two-way crossover study",sleep,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,6 weeks,fibromyalgia,fibromyalgia,primary,no,crossover,per-protocol,fibromyalgia impact questionnaire total score,post_int,NA,45.3,15.491933384829668,4,NA,NA,NA,NA,NA,15,NA,NA,FALSE,NA,NA,NA,NA,NA,placebo,higher,qol,quality of life,smd,standardised mean diference,qol,post_int
31,qol,ahmed 2016,"the effects of milnacipran on sleep disturbance in fibromyalgia: a randomized, double-blind, placebo-controlled, two-way crossover study",sleep,milnacipran,antidepressant,antidepressant,milnacipran 100mg,snri,100mg,standard,fixed,6 weeks,fibromyalgia,fibromyalgia,primary,no,crossover,per-protocol,fibromyalgia impact questionnaire total score,post_int,NA,40,26.336286754210434,6.8,NA,NA,NA,NA,NA,15,NA,NA,FALSE,NA,NA,NA,NA,NA,ad,higher,qol,quality of life,smd,standardised mean diference,qol,post_int
32,pain_int,ahmed 2016,"the effects of milnacipran on sleep disturbance in fibromyalgia: a randomized, double-blind, placebo-controlled, two-way crossover study",sleep,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,6 weeks,fibromyalgia,fibromyalgia,primary,no,crossover,per-protocol,bpi pain severity,baseline,NA,5.4,4.6475800154489,1.2,NA,NA,NA,NA,NA,15,NA,NA,FALSE,NA,NA,NA,NA,NA,placebo,lower,pain_int,pain intensity (continuous measure),smd,standardised mean diference,pain_int,baseline
33,pain_int,ahmed 2016,"the effects of milnacipran on sleep disturbance in fibromyalgia: a randomized, double-blind, placebo-controlled, two-way crossover study",sleep,milnacipran,antidepressant,antidepressant,milnacipran 100mg,snri,100mg,standard,fixed,6 weeks,fibromyalgia,fibromyalgia,primary,no,crossover,per-protocol,bpi pain severity,baseline,NA,5.4,4.6475800154489,1.2,NA,NA,NA,NA,NA,15,NA,NA,FALSE,NA,NA,NA,NA,NA,ad,lower,pain_int,pain intensity (continuous measure),smd,standardised mean diference,pain_int,baseline
34,pain_int,ahmed 2016,"the effects of milnacipran on sleep disturbance in fibromyalgia: a randomized, double-blind, placebo-controlled, two-way crossover study",sleep,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,6 weeks,fibromyalgia,fibromyalgia,primary,no,crossover,per-protocol,bpi pain severity,post_int,NA,4.7,1.5491933384829668,0.4,NA,NA,NA,NA,NA,15,NA,NA,FALSE,NA,NA,NA,NA,NA,placebo,lower,pain_int,pain intensity (continuous measure),smd,standardised mean diference,pain_int,post_int
35,pain_int,ahmed 2016,"the effects of milnacipran on sleep disturbance in fibromyalgia: a randomized, double-blind, placebo-controlled, two-way crossover study",sleep,milnacipran,antidepressant,antidepressant,milnacipran 100mg,snri,100mg,standard,fixed,6 weeks,fibromyalgia,fibromyalgia,primary,no,crossover,per-protocol,bpi pain severity,post_int,NA,4.1,2.32379000772445,0.6,NA,NA,NA,NA,NA,15,NA,NA,FALSE,NA,NA,NA,NA,NA,ad,lower,pain_int,pain intensity (continuous measure),smd,standardised mean diference,pain_int,post_int
36,serious_adverse,ahmed 2016,"the effects of milnacipran on sleep disturbance in fibromyalgia: a randomized, double-blind, placebo-controlled, two-way crossover study",sleep,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,6 weeks,fibromyalgia,fibromyalgia,primary,no,crossover,per-protocol,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0,0,FALSE,NA,NA,NA,NA,NA,placebo,NA,serious_adverse,adverse outcomes excluded from nma,NA,NA,serious_adverse,post_int
37,serious_adverse,ahmed 2016,"the effects of milnacipran on sleep disturbance in fibromyalgia: a randomized, double-blind, placebo-controlled, two-way crossover study",sleep,milnacipran,antidepressant,antidepressant,milnacipran 100mg,snri,100mg,standard,fixed,6 weeks,fibromyalgia,fibromyalgia,primary,no,crossover,per-protocol,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0,0,FALSE,NA,NA,NA,NA,NA,ad,NA,serious_adverse,adverse outcomes excluded from nma,NA,NA,serious_adverse,post_int
38,withdrawal,ahmed 2016,"the effects of milnacipran on sleep disturbance in fibromyalgia: a randomized, double-blind, placebo-controlled, two-way crossover study",sleep,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,6 weeks,fibromyalgia,fibromyalgia,primary,no,crossover,per-protocol,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,1,0.055,FALSE,NA,NA,NA,NA,NA,placebo,lower,withdrawal,withdrawal,lor,log odds ratio,withdrawal,post_int
39,withdrawal,ahmed 2016,"the effects of milnacipran on sleep disturbance in fibromyalgia: a randomized, double-blind, placebo-controlled, two-way crossover study",sleep,milnacipran,antidepressant,antidepressant,milnacipran 100mg,snri,100mg,standard,fixed,6 weeks,fibromyalgia,fibromyalgia,primary,no,crossover,per-protocol,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,3,0.16699999999999998,FALSE,NA,NA,NA,NA,NA,ad,lower,withdrawal,withdrawal,lor,log odds ratio,withdrawal,post_int
40,adverse,ahmed 2016,"the effects of milnacipran on sleep disturbance in fibromyalgia: a randomized, double-blind, placebo-controlled, two-way crossover study",sleep,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,6 weeks,fibromyalgia,fibromyalgia,primary,no,crossover,per-protocol,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,5,0.35700000000000004,FALSE,NA,NA,NA,NA,NA,placebo,lower,adverse,adverse events,lor,log odds ratio,adverse,post_int
41,adverse,ahmed 2016,"the effects of milnacipran on sleep disturbance in fibromyalgia: a randomized, double-blind, placebo-controlled, two-way crossover study",sleep,milnacipran,antidepressant,antidepressant,milnacipran 100mg,snri,100mg,standard,fixed,6 weeks,fibromyalgia,fibromyalgia,primary,no,crossover,per-protocol,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,10,0.642,FALSE,NA,NA,NA,NA,NA,ad,lower,adverse,adverse events,lor,log odds ratio,adverse,post_int
42,withdrawal,alcoff 1982,controlled trial of imipramine for chronic low back pain,pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,8 weeks,low back pain,musculoskeletal,primary,no,parallel,unclear,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,2,0.091,FALSE,NA,NA,NA,NA,NA,placebo,lower,withdrawal,withdrawal,lor,log odds ratio,withdrawal,post_int
43,withdrawal,alcoff 1982,controlled trial of imipramine for chronic low back pain,pain,imipramine,antidepressant,antidepressant,imipramine 150mg,tca,150mg,high,fixed,8 weeks,low back pain,musculoskeletal,primary,no,parallel,unclear,count,post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,7,0.25,FALSE,NA,NA,NA,2021-09-27,NA,ad,lower,withdrawal,withdrawal,lor,log odds ratio,withdrawal,post_int
44,pain_int,allen 2014,clinical experience with desvenlafaxine in treatment of patients with diabetic peripheral neuropathy,pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,13 weeks,diabetic peripheral neuropathy,neuropathic,neuropathic,≥4 on 10nrs,parallel,itt with locf,0-10 numerical rating scale,baseline,NA,6.61,1.6,0.16865480854231357,NA,NA,NA,NA,NA,90,NA,NA,FALSE,NA,NA,NA,NA,NA,placebo,lower,pain_int,pain intensity (continuous measure),smd,standardised mean diference,pain_int,baseline
45,pain_int,allen 2014,clinical experience with desvenlafaxine in treatment of patients with diabetic peripheral neuropathy,pain,desvenlafaxine,antidepressant,antidepressant,desvenlafaxine 50mg,snri,50mg,standard,fixed,13 weeks,diabetic peripheral neuropathy,neuropathic,neuropathic,≥4 on 10nrs,parallel,itt with locf,0-10 numerical rating scale,baseline,NA,6.44,1.66,0.20914034173177237,NA,NA,NA,NA,NA,63,NA,NA,FALSE,NA,NA,NA,NA,NA,ad,lower,pain_int,pain intensity (continuous measure),smd,standardised mean diference,pain_int,baseline
46,pain_int,allen 2014,clinical experience with desvenlafaxine in treatment of patients with diabetic peripheral neuropathy,pain,desvenlafaxine,antidepressant,antidepressant,desvenlafaxine 100mg,snri,100mg,high,fixed,13 weeks,diabetic peripheral neuropathy,neuropathic,neuropathic,≥4 on 10nrs,parallel,itt with locf,0-10 numerical rating scale,baseline,NA,6.14,1.62,0.17368223064372276,NA,NA,NA,NA,NA,87,NA,NA,FALSE,NA,NA,NA,NA,NA,ad,lower,pain_int,pain intensity (continuous measure),smd,standardised mean diference,pain_int,baseline
47,pain_int,allen 2014,clinical experience with desvenlafaxine in treatment of patients with diabetic peripheral neuropathy,pain,desvenlafaxine,antidepressant,antidepressant,desvenlafaxine 200mg,snri,200mg,high,fixed,13 weeks,diabetic peripheral neuropathy,neuropathic,neuropathic,≥4 on 10nrs,parallel,itt with locf,0-10 numerical rating scale,baseline,NA,6.55,1.52,0.15276574791940023,NA,NA,NA,NA,NA,99,NA,NA,FALSE,NA,NA,NA,NA,NA,ad,lower,pain_int,pain intensity (continuous measure),smd,standardised mean diference,pain_int,baseline
48,pain_int,allen 2014,clinical experience with desvenlafaxine in treatment of patients with diabetic peripheral neuropathy,pain,desvenlafaxine,antidepressant,antidepressant,desvenlafaxine 400mg,snri,400mg,high,fixed,13 weeks,diabetic peripheral neuropathy,neuropathic,neuropathic,≥4 on 10nrs,parallel,itt with locf,0-10 numerical rating scale,baseline,NA,6.48,1.42,0.17094791138179224,NA,NA,NA,NA,NA,69,NA,NA,FALSE,NA,NA,NA,NA,NA,ad,lower,pain_int,pain intensity (continuous measure),smd,standardised mean diference,pain_int,baseline
49,pain_int,allen 2014,clinical experience with desvenlafaxine in treatment of patients with diabetic peripheral neuropathy,pain,placebo,placebo,placebo,placebo,n/a,n/a,n/a,n/a,13 weeks,diabetic peripheral neuropathy,neuropathic,neuropathic,≥4 on 10nrs,parallel,itt with locf,0-10 numerical rating scale,change_score,NA,-1.83,1.8667619023324853,0.22,NA,NA,NA,NA,NA,72,NA,NA,TRUE,NA,NA,NA,NA,NA,placebo,lower,pain_int,pain intensity (continuous measure),smd,standardised mean diference,pain_int,post_int
50,pain_int,allen 2014,clinical experience with desvenlafaxine in treatment of patients with diabetic peripheral neuropathy,pain,desvenlafaxine,antidepressant,antidepressant,desvenlafaxine 50mg,snri,50mg,standard,fixed,13 weeks,diabetic peripheral neuropathy,neuropathic,neuropathic,≥4 on 10nrs,parallel,itt with locf,0-10 numerical rating scale,change_score,NA,-2.41,1.82,0.26,NA,NA,NA,NA,NA,49,NA,NA,TRUE,NA,NA,NA,NA,NA,ad,lower,pain_int,pain intensity (continuous measure),smd,standardised mean diference,pain_int,post_int
51,pain_int,allen 2014,clinical experience with desvenlafaxine in treatment of patients with diabetic peripheral neuropathy,pain,desvenlafaxine,antidepressant,antidepressant,desvenlafaxine 100mg,snri,100mg,high,fixed,13 weeks,diabetic peripheral neuropathy,neuropathic,neuropathic,≥4 on 10nrs,parallel,itt with locf,0-10 numerical rating scale,change_score,NA,-2.42,1.8543192821086665,0.23,NA,NA,NA,NA,NA,65,NA,NA,TRUE,NA,NA,NA,NA,NA,ad,lower,pain_int,pain intensity (continuous measure),smd,standardised mean diference,pain_int,post_int
52,pain_int,allen 2014,clinical experience with desvenlafaxine in treatment of patients with diabetic peripheral neuropathy,pain,desvenlafaxine,antidepressant,antidepressant,desvenlafaxine 200mg,snri,200mg,high,fixed,13 weeks,diabetic peripheral neuropathy,neuropathic,neuropathic,≥4 on 10nrs,parallel,itt with locf,0-10 numerical rating scale,change_score,NA,-2.93,1.8406520583749661,0.22,NA,NA,NA,NA,NA,70,NA,NA,TRUE,NA,NA,NA,NA,NA,ad,lower,pain_int,pain intensity (continuous measure),smd,standardised mean diference,pain_int,post_int
53,pain_int,allen 2014,clinical experience with desvenlafaxine in treatment of patients with diabetic peripheral neuropathy,pain,desvenlafaxine,antidepressant,antidepressant,desvenlafaxine 400mg,snri,400mg,high,fixed,13 weeks,diabetic peripheral neuropathy,neuropathic,neuropathic,≥4 on 10nrs,parallel,itt with locf,0-10 numerical rating scale,change_score,NA,-2.74,1.707629936490925,0.27,NA,NA,NA,NA,NA,40,NA,NA,TRUE,NA,NA,NA,NA,NA,ad,lower,pain_int,pain intensity (continuous measure),smd,standardised mean diference,pain_int,post_int
