Outcome,Study ID,Title,Main aim of study,Intervention,Intervention type,Intervention grouping,Arm,AD class,"AD dose numerical (fixed amount, range or mean dose)",AD dose categorised,Dose schedule,Length of study (start to post-intervention),Pain condition,General pain grouping,IASP pain grouping,Minimum pain inclusion?,Design,Imputation method,Scale,Timepoint,Follow up timepoint,mean,sd,se,median,ci lower,ci upper,iqr lower,iqr higher,n,r,r%,Change score,Adverse events definition,Stats notes,Study notes,Date checked,Remove row for mood analysis,Funded by pharma?,Sequence generation,Allocation concealment,Blinding of participants and personnel,Blinding of outcome assessors,Incomplete outcome data,Selective outcome reporting,Other sources of bias
mood_depression,Abou-Raya 2012,Title: Duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,16 weeks,Osteoarthritis,Musculoskeletal,Musculoskeletal,≥40 on 100VAS,Parallel,ITT unspecified method,Geriatric depression scale,Post_int,NA,9.7,2.2,NA,NA,NA,NA,NA,NA,144,NA,NA,FALSE,NA,NA,NA,NA,NA,No,Low,Low,Low,Low,Low,Unclear,Low
mood_depression,Abou-Raya 2012,Title: Duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 60mg,SNRI,60mg,Standard,Fixed,16 weeks,Osteoarthritis,Musculoskeletal,Musculoskeletal,≥40 on 100VAS,Parallel,ITT unspecified method,Geriatric depression scale,Post_int,NA,5.2,1.7,NA,NA,NA,NA,NA,NA,144,NA,NA,FALSE,NA,NA,NA,NA,NA,No,Low,Low,Low,Low,Low,Unclear,Low
withdrawal,Abou-Raya 2012,Title: Duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,16 weeks,Osteoarthritis,Musculoskeletal,Musculoskeletal,≥40 on 100VAS,Parallel,ITT unspecified method,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,13,9.03,FALSE,NA,NA,NA,NA,NA,No,Low,Low,Low,Low,Low,Unclear,Low
withdrawal,Abou-Raya 2012,Title: Duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 60mg,SNRI,60mg,Standard,Fixed,16 weeks,Osteoarthritis,Musculoskeletal,Musculoskeletal,≥40 on 100VAS,Parallel,ITT unspecified method,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,21,14.58,FALSE,NA,NA,NA,NA,NA,No,Low,Low,Low,Low,Low,Unclear,Low
adverse_dropout,Abou-Raya 2012,Title: Duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,16 weeks,Osteoarthritis,Musculoskeletal,Musculoskeletal,≥40 on 100VAS,Parallel,ITT unspecified method,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,6,NA,FALSE,NA,NA,NA,NA,NA,No,Low,Low,Low,Low,Low,Unclear,Low
adverse_dropout,Abou-Raya 2012,Title: Duloxetine for the management of pain in older adults with knee osteoarthritis: randomised placebo-controlled trial,Pain,Duloxetine,Antidepressant,Antidepressant,Duloxetine 60mg,SNRI,60mg,Standard,Fixed,16 weeks,Osteoarthritis,Musculoskeletal,Musculoskeletal,≥40 on 100VAS,Parallel,ITT unspecified method,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,9,NA,FALSE,NA,NA,NA,NA,NA,No,Low,Low,Low,Low,Low,Unclear,Low
adverse,Agger 2017,"Title: Imipramine versus placebo for multiple functional somatic syndromes (STreSS-3): a double-blind, randomised study",Global improvement,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,13 weeks,Multiple functional somatic syndromes,Primary,Primary,No,Parallel,ITT unspecified method,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,17,FALSE,NA,NA,At least one AE of moderate intensity,NA,NA,Authors report pharma CoI/fees,Low,Low,Unclear,Unclear,Low,High,Low
adverse,Agger 2017,"Title: Imipramine versus placebo for multiple functional somatic syndromes (STreSS-3): a double-blind, randomised study",Global improvement,Imipramine,Antidepressant,Antidepressant,Imipramine 25-75mg,TCA,25-75mg,Low,Flexible,13 weeks,Multiple functional somatic syndromes,Primary,Primary,No,Parallel,ITT unspecified method,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,49,FALSE,NA,NA,At least one AE of moderate intensity,NA,NA,Authors report pharma CoI/fees,Low,Low,Unclear,Unclear,Low,High,Low
adverse_dropout,Agger 2017,"Title: Imipramine versus placebo for multiple functional somatic syndromes (STreSS-3): a double-blind, randomised study",Global improvement,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,13 weeks,Multiple functional somatic syndromes,Primary,Primary,No,Parallel,ITT unspecified method,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,3,NA,FALSE,NA,NA,NA,NA,NA,Authors report pharma CoI/fees,Low,Low,Unclear,Unclear,Low,High,Low
adverse_dropout,Agger 2017,"Title: Imipramine versus placebo for multiple functional somatic syndromes (STreSS-3): a double-blind, randomised study",Global improvement,Imipramine,Antidepressant,Antidepressant,Imipramine 25-75mg,TCA,25-75mg,Low,Flexible,13 weeks,Multiple functional somatic syndromes,Primary,Primary,No,Parallel,ITT unspecified method,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,4,NA,FALSE,NA,NA,NA,NA,NA,Authors report pharma CoI/fees,Low,Low,Unclear,Unclear,Low,High,Low
withdrawal,Agger 2017,"Title: Imipramine versus placebo for multiple functional somatic syndromes (STreSS-3): a double-blind, randomised study",Global improvement,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,13 weeks,Multiple functional somatic syndromes,Primary,Primary,No,Parallel,ITT unspecified method,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,22.1,FALSE,NA,NA,NA,NA,NA,Authors report pharma CoI/fees,Low,Low,Unclear,Unclear,Low,High,Low
withdrawal,Agger 2017,"Title: Imipramine versus placebo for multiple functional somatic syndromes (STreSS-3): a double-blind, randomised study",Global improvement,Imipramine,Antidepressant,Antidepressant,Imipramine 25-75mg,TCA,25-75mg,Low,Flexible,13 weeks,Multiple functional somatic syndromes,Primary,Primary,No,Parallel,ITT unspecified method,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,18.6,FALSE,NA,NA,NA,NA,NA,Authors report pharma CoI/fees,Low,Low,Unclear,Unclear,Low,High,Low
sleep,Ahmed 2016,"The Effects of Milnacipran on Sleep Disturbance in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled, Two-Way Crossover Study",Sleep,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,6 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Crossover,Per-protocol,MOS Sleep Problems Index II,Baseline,NA,55.6,NA,14.4,NA,NA,NA,NA,NA,15,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Low,Low,Low,Low,Low,Low,Low
sleep,Ahmed 2016,"The Effects of Milnacipran on Sleep Disturbance in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled, Two-Way Crossover Study",Sleep,Milnacipran,Antidepressant,Antidepressant,Milnacipran 100mg,SNRI,100mg,Standard,Fixed,6 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Crossover,Per-protocol,MOS Sleep Problems Index II,Baseline,NA,55.6,NA,14.4,NA,NA,NA,NA,NA,15,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Low,Low,Low,Low,Low,Low,Low
sleep,Ahmed 2016,"The Effects of Milnacipran on Sleep Disturbance in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled, Two-Way Crossover Study",Sleep,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,6 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Crossover,Per-protocol,MOS Sleep Problems Index II,Post_int,NA,34.9,NA,3.8,NA,NA,NA,NA,NA,15,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Low,Low,Low,Low,Low,Low,Low
sleep,Ahmed 2016,"The Effects of Milnacipran on Sleep Disturbance in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled, Two-Way Crossover Study",Sleep,Milnacipran,Antidepressant,Antidepressant,Milnacipran 100mg,SNRI,100mg,Standard,Fixed,6 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Crossover,Per-protocol,MOS Sleep Problems Index II,Post_int,NA,37.8,NA,4.4,NA,NA,NA,NA,NA,15,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Low,Low,Low,Low,Low,Low,Low
qol,Ahmed 2016,"The Effects of Milnacipran on Sleep Disturbance in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled, Two-Way Crossover Study",Sleep,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,6 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Crossover,Per-protocol,Fibromyalgia Impact Questionnaire total score,Baseline,NA,56.7,NA,12.6,NA,NA,NA,NA,NA,15,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Low,Low,Low,Low,Low,Low,Low
qol,Ahmed 2016,"The Effects of Milnacipran on Sleep Disturbance in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled, Two-Way Crossover Study",Sleep,Milnacipran,Antidepressant,Antidepressant,Milnacipran 100mg,SNRI,100mg,Standard,Fixed,6 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Crossover,Per-protocol,Fibromyalgia Impact Questionnaire total score,Baseline,NA,56.7,NA,12.6,NA,NA,NA,NA,NA,15,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Low,Low,Low,Low,Low,Low,Low
qol,Ahmed 2016,"The Effects of Milnacipran on Sleep Disturbance in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled, Two-Way Crossover Study",Sleep,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,6 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Crossover,Per-protocol,Fibromyalgia Impact Questionnaire total score,Post_int,NA,45.3,NA,4,NA,NA,NA,NA,NA,15,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Low,Low,Low,Low,Low,Low,Low
qol,Ahmed 2016,"The Effects of Milnacipran on Sleep Disturbance in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled, Two-Way Crossover Study",Sleep,Milnacipran,Antidepressant,Antidepressant,Milnacipran 100mg,SNRI,100mg,Standard,Fixed,6 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Crossover,Per-protocol,Fibromyalgia Impact Questionnaire total score,Post_int,NA,40,NA,6.8,NA,NA,NA,NA,NA,15,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Low,Low,Low,Low,Low,Low,Low
pain_int,Ahmed 2016,"The Effects of Milnacipran on Sleep Disturbance in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled, Two-Way Crossover Study",Sleep,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,6 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Crossover,Per-protocol,BPI Pain Severity,Baseline,NA,5.4,NA,1.2,NA,NA,NA,NA,NA,15,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Low,Low,Low,Low,Low,Low,Low
pain_int,Ahmed 2016,"The Effects of Milnacipran on Sleep Disturbance in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled, Two-Way Crossover Study",Sleep,Milnacipran,Antidepressant,Antidepressant,Milnacipran 100mg,SNRI,100mg,Standard,Fixed,6 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Crossover,Per-protocol,BPI Pain Severity,Baseline,NA,5.4,NA,1.2,NA,NA,NA,NA,NA,15,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Low,Low,Low,Low,Low,Low,Low
pain_int,Ahmed 2016,"The Effects of Milnacipran on Sleep Disturbance in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled, Two-Way Crossover Study",Sleep,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,6 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Crossover,Per-protocol,BPI Pain Severity,Post_int,NA,4.7,NA,0.4,NA,NA,NA,NA,NA,15,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Low,Low,Low,Low,Low,Low,Low
pain_int,Ahmed 2016,"The Effects of Milnacipran on Sleep Disturbance in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled, Two-Way Crossover Study",Sleep,Milnacipran,Antidepressant,Antidepressant,Milnacipran 100mg,SNRI,100mg,Standard,Fixed,6 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Crossover,Per-protocol,BPI Pain Severity,Post_int,NA,4.1,NA,0.6,NA,NA,NA,NA,NA,15,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Low,Low,Low,Low,Low,Low,Low
serious_adverse,Ahmed 2016,"The Effects of Milnacipran on Sleep Disturbance in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled, Two-Way Crossover Study",Sleep,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,6 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Crossover,Per-protocol,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0,0,FALSE,NA,NA,NA,NA,NA,Yes,Low,Low,Low,Low,Low,Low,Low
serious_adverse,Ahmed 2016,"The Effects of Milnacipran on Sleep Disturbance in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled, Two-Way Crossover Study",Sleep,Milnacipran,Antidepressant,Antidepressant,Milnacipran 100mg,SNRI,100mg,Standard,Fixed,6 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Crossover,Per-protocol,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0,0,FALSE,NA,NA,NA,NA,NA,Yes,Low,Low,Low,Low,Low,Low,Low
withdrawal,Ahmed 2016,"The Effects of Milnacipran on Sleep Disturbance in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled, Two-Way Crossover Study",Sleep,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,6 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Crossover,Per-protocol,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,1,5.5,FALSE,NA,NA,NA,NA,NA,Yes,Low,Low,Low,Low,Low,Low,Low
withdrawal,Ahmed 2016,"The Effects of Milnacipran on Sleep Disturbance in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled, Two-Way Crossover Study",Sleep,Milnacipran,Antidepressant,Antidepressant,Milnacipran 100mg,SNRI,100mg,Standard,Fixed,6 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Crossover,Per-protocol,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,3,16.7,FALSE,NA,NA,NA,NA,NA,Yes,Low,Low,Low,Low,Low,Low,Low
adverse,Ahmed 2016,"The Effects of Milnacipran on Sleep Disturbance in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled, Two-Way Crossover Study",Sleep,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,6 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Crossover,Per-protocol,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,35.7,FALSE,NA,NA,NA,NA,NA,Yes,Low,Low,Low,Low,Low,Low,Low
adverse,Ahmed 2016,"The Effects of Milnacipran on Sleep Disturbance in Fibromyalgia: A Randomized, Double-Blind, Placebo-Controlled, Two-Way Crossover Study",Sleep,Milnacipran,Antidepressant,Antidepressant,Milnacipran 100mg,SNRI,100mg,Standard,Fixed,6 weeks,Fibromyalgia,Fibromyalgia,Primary,No,Crossover,Per-protocol,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,64.2,FALSE,NA,NA,NA,NA,NA,Yes,Low,Low,Low,Low,Low,Low,Low
withdrawal,Alcoff 1982,Controlled Trial of Imipramine for Chronic Low Back Pain,Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,8 weeks,Low back pain,Musculoskeletal,Primary,No,Parallel,Unclear,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,2,9.1,FALSE,NA,NA,NA,NA,NA,No,Unclear,Low,Low,Low,High,Unclear,Low
withdrawal,Alcoff 1982,Controlled Trial of Imipramine for Chronic Low Back Pain,Pain,Imipramine,Antidepressant,Antidepressant,Imipramine 150mg,TCA,150mg,High,Fixed,8 weeks,Low back pain,Musculoskeletal,Primary,No,Parallel,Unclear,Count,Post_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,7,25,FALSE,NA,NA,NA,2021-09-27,NA,No,Unclear,Low,Low,Low,High,Unclear,Low
pain_int,Allen 2014,Clinical experience with desvenlafaxine in treatment of patients with diabetic peripheral neuropathy,Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,13 weeks,Diabetic peripheral neuropathy,Neuropathic,Neuropathic,≥4 on 10NRS,Parallel,ITT with LOCF,0-10 Numerical Rating Scale,Baseline,NA,6.61,1.6,NA,NA,NA,NA,NA,NA,90,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Low,Low,Low,Low,Unclear,Unclear,Low
pain_int,Allen 2014,Clinical experience with desvenlafaxine in treatment of patients with diabetic peripheral neuropathy,Pain,Desvenlafaxine,Antidepressant,Antidepressant,Desvenlafaxine 50mg,SNRI,50mg,Standard,Fixed,13 weeks,Diabetic peripheral neuropathy,Neuropathic,Neuropathic,≥4 on 10NRS,Parallel,ITT with LOCF,0-10 Numerical Rating Scale,Baseline,NA,6.44,1.66,NA,NA,NA,NA,NA,NA,63,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Low,Low,Low,Low,Unclear,Unclear,Low
pain_int,Allen 2014,Clinical experience with desvenlafaxine in treatment of patients with diabetic peripheral neuropathy,Pain,Desvenlafaxine,Antidepressant,Antidepressant,Desvenlafaxine 100mg,SNRI,100mg,High,Fixed,13 weeks,Diabetic peripheral neuropathy,Neuropathic,Neuropathic,≥4 on 10NRS,Parallel,ITT with LOCF,0-10 Numerical Rating Scale,Baseline,NA,6.14,1.62,NA,NA,NA,NA,NA,NA,87,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Low,Low,Low,Low,Unclear,Unclear,Low
pain_int,Allen 2014,Clinical experience with desvenlafaxine in treatment of patients with diabetic peripheral neuropathy,Pain,Desvenlafaxine,Antidepressant,Antidepressant,Desvenlafaxine 200mg,SNRI,200mg,High,Fixed,13 weeks,Diabetic peripheral neuropathy,Neuropathic,Neuropathic,≥4 on 10NRS,Parallel,ITT with LOCF,0-10 Numerical Rating Scale,Baseline,NA,6.55,1.52,NA,NA,NA,NA,NA,NA,99,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Low,Low,Low,Low,Unclear,Unclear,Low
pain_int,Allen 2014,Clinical experience with desvenlafaxine in treatment of patients with diabetic peripheral neuropathy,Pain,Desvenlafaxine,Antidepressant,Antidepressant,Desvenlafaxine 400mg,SNRI,400mg,High,Fixed,13 weeks,Diabetic peripheral neuropathy,Neuropathic,Neuropathic,≥4 on 10NRS,Parallel,ITT with LOCF,0-10 Numerical Rating Scale,Baseline,NA,6.48,1.42,NA,NA,NA,NA,NA,NA,69,NA,NA,FALSE,NA,NA,NA,NA,NA,Yes,Low,Low,Low,Low,Unclear,Unclear,Low
pain_int,Allen 2014,Clinical experience with desvenlafaxine in treatment of patients with diabetic peripheral neuropathy,Pain,Placebo,Placebo,Placebo,Placebo,N/A,N/A,N/A,N/A,13 weeks,Diabetic peripheral neuropathy,Neuropathic,Neuropathic,≥4 on 10NRS,Parallel,ITT with LOCF,0-10 Numerical Rating Scale,Post_int,NA,-1.83,NA,0.22,NA,NA,NA,NA,NA,72,NA,NA,TRUE,NA,NA,NA,NA,NA,Yes,Low,Low,Low,Low,Unclear,Unclear,Low
pain_int,Allen 2014,Clinical experience with desvenlafaxine in treatment of patients with diabetic peripheral neuropathy,Pain,Desvenlafaxine,Antidepressant,Antidepressant,Desvenlafaxine 50mg,SNRI,50mg,Standard,Fixed,13 weeks,Diabetic peripheral neuropathy,Neuropathic,Neuropathic,≥4 on 10NRS,Parallel,ITT with LOCF,0-10 Numerical Rating Scale,Post_int,NA,-2.41,NA,0.26,NA,NA,NA,NA,NA,49,NA,NA,TRUE,NA,NA,NA,NA,NA,Yes,Low,Low,Low,Low,Unclear,Unclear,Low
pain_int,Allen 2014,Clinical experience with desvenlafaxine in treatment of patients with diabetic peripheral neuropathy,Pain,Desvenlafaxine,Antidepressant,Antidepressant,Desvenlafaxine 100mg,SNRI,100mg,High,Fixed,13 weeks,Diabetic peripheral neuropathy,Neuropathic,Neuropathic,≥4 on 10NRS,Parallel,ITT with LOCF,0-10 Numerical Rating Scale,Post_int,NA,-2.42,NA,0.23,NA,NA,NA,NA,NA,65,NA,NA,TRUE,NA,NA,NA,NA,NA,Yes,Low,Low,Low,Low,Unclear,Unclear,Low
pain_int,Allen 2014,Clinical experience with desvenlafaxine in treatment of patients with diabetic peripheral neuropathy,Pain,Desvenlafaxine,Antidepressant,Antidepressant,Desvenlafaxine 200mg,SNRI,200mg,High,Fixed,13 weeks,Diabetic peripheral neuropathy,Neuropathic,Neuropathic,≥4 on 10NRS,Parallel,ITT with LOCF,0-10 Numerical Rating Scale,Post_int,NA,-2.93,NA,0.22,NA,NA,NA,NA,NA,70,NA,NA,TRUE,NA,NA,NA,NA,NA,Yes,Low,Low,Low,Low,Unclear,Unclear,Low
